time,x,y,z,yaw,throttle,roll_rate,pitch_rate,yaw_rate,x_ref,y_ref,z_ref,yaw_ref,pred_time,nr_time,ctrl_callback_time,metadata
9.5367431640625e-07,-0.022268835455179214,-0.004238984547555447,0.14771117269992828,-0.025276418097863247,0.7169922735252764,-0.003211957635357976,-0.0386582687497139,0.00947546772658825,0.0,0.0,-0.6,0.0,0.4649507999420166,0.4649507999420166,0.5297236442565918,Sim
0.529979944229126,-0.022268835455179214,-0.004238984547555447,0.14771117269992828,-0.025276418097863247,0.735320410082263,-0.005194884724915028,-0.06089000031352043,0.01604139432311058,0.0,0.0,-0.6,0.0,0.0002391338348388672,0.0002391338348388672,0.0034356117248535156,jax_reg_wardi
0.539708137512207,-0.017963288351893425,0.0033366186544299126,0.1665029376745224,-0.02556522162793018,0.7505060258457902,-0.014520150609314442,-0.07165179401636124,0.020559530705213547,0.0,0.0,-0.6,0.0,0.00024819374084472656,0.00024819374084472656,0.0029931068420410156,2x Speed
0.5497260093688965,-0.018147869035601616,0.003641737625002861,0.16762372851371765,-0.025543146204582166,0.7625038405711595,-0.020661043003201485,-0.0785389095544815,0.023665359243750572,0.0,0.0,-0.6,0.0,0.00023436546325683594,0.00023436546325683594,0.003157377243041992,circle_horz_ref_func
0.5597231388092041,-0.018147869035601616,0.003641737625002861,0.16762372851371765,-0.025543146204582166,0.7719846257245595,-0.0245975311845541,-0.08293386548757553,0.025826655328273773,0.0,0.0,-0.6,0.0,0.00023508071899414062,0.00023508071899414062,0.0033690929412841797,0
0.5698561668395996,-0.018471674993634224,0.004114087671041489,0.16940182447433472,-0.02554912662900371,0.7795700299009739,-0.02740313485264778,-0.08603111654520035,0.027329063042998314,0.0,0.0,-0.6,0.0,0.0002319812774658203,0.0002319812774658203,0.0033164024353027344,0
0.5800848007202148,-0.018471674993634224,0.004114087671041489,0.16940182447433472,-0.02554912662900371,0.7855918924651468,-0.029263919219374657,-0.08808034658432007,0.028379686176776886,0.0,0.0,-0.6,0.0,0.0002472400665283203,0.0002472400665283203,0.0032601356506347656,0
0.5898351669311523,-0.018238404765725136,0.004289907403290272,0.16997985541820526,-0.025505905355078618,0.7904018404630574,-0.030689911916851997,-0.08947678655385971,0.02909397892653942,0.0,0.0,-0.6,0.0,0.00022530555725097656,0.00022530555725097656,0.003131389617919922,0
0.5998451709747314,-0.018238404765725136,0.004289907403290272,0.16997985541820526,-0.025505905355078618,0.7942311991314104,-0.03165503963828087,-0.09042071551084518,0.029594173654913902,0.0,0.0,-0.6,0.0,0.0002372264862060547,0.0002372264862060547,0.0031659603118896484,0
0.609917163848877,-0.01725500263273716,0.00436369376257062,0.16986651718616486,-0.025466378775413717,0.7969604227612275,-0.03224239870905876,-0.08971676975488663,0.029944436624646187,0.0,0.0,-0.6,0.0,0.00025916099548339844,0.00025916099548339844,0.0035588741302490234,0
0.6198101043701172,-0.01725500263273716,0.00436369376257062,0.16986651718616486,-0.025466378775413717,0.7991378509438918,-0.03264570236206055,-0.08923330157995224,0.030190007761120796,0.0,0.0,-0.6,0.0,0.0002529621124267578,0.0002529621124267578,0.0031409263610839844,0
0.6298882961273193,-0.016663413494825363,0.004435480572283268,0.16950540244579315,-0.025411297758830356,0.8003336534307711,-0.03273177146911621,-0.08734463900327682,0.030362267047166824,0.0,0.0,-0.6,0.0,0.0002143383026123047,0.0002143383026123047,0.0032448768615722656,0
0.6397247314453125,-0.016663413494825363,0.004435480572283268,0.16950540244579315,-0.025411297758830356,0.8012892501855329,-0.03279140964150429,-0.08603361248970032,0.030482806265354156,0.0,0.0,-0.6,0.0,0.0001919269561767578,0.0001919269561767578,0.003177642822265625,0
0.6497893333435059,-0.015869108960032463,0.0045718057081103325,0.1682530641555786,-0.025226698130145293,0.8010334691341937,-0.03247528895735741,-0.08200444281101227,0.030538586899638176,0.0,0.0,-0.6,0.0,0.000263214111328125,0.000263214111328125,0.0035860538482666016,0
0.6598770618438721,-0.015869108960032463,0.0045718057081103325,0.1682530641555786,-0.025226698130145293,0.8008290972765034,-0.032253507524728775,-0.07917909324169159,0.030576808378100395,0.0,0.0,-0.6,0.0,0.00024199485778808594,0.00024199485778808594,0.003397703170776367,0
0.6698195934295654,-0.015393312089145184,0.004682184662669897,0.16685445606708527,-0.025034951393568018,0.7999099607738543,-0.031706858426332474,-0.07462756335735321,0.0305673498660326,0.0,0.0,-0.6,0.0,0.000202178955078125,0.000202178955078125,0.0031707286834716797,0
0.6800413131713867,-0.015393312089145184,0.004682184662669897,0.16685445606708527,-0.025034951393568018,0.7991743087410805,-0.03132174536585808,-0.07142114639282227,0.030559377744793892,0.0,0.0,-0.6,0.0,0.00022602081298828125,0.00022602081298828125,0.0032715797424316406,0
0.6899220943450928,-0.014749700203537941,0.004875972867012024,0.16374993324279785,-0.024667688856303167,0.7973781254298546,-0.030335647985339165,-0.0652519166469574,0.030472300946712494,0.0,0.0,-0.6,0.0,0.0002684593200683594,0.0002684593200683594,0.003393888473510742,0
0.7001912593841553,-0.014550392515957355,0.004946641158312559,0.16244761645793915,-0.02450029632656666,0.7955240086117178,-0.02938201278448105,-0.059485334903001785,0.030366025865077972,0.0,0.0,-0.6,0.0,0.00037360191345214844,0.00037360191345214844,0.006113290786743164,0
0.7097752094268799,-0.014358178712427616,0.005019967909902334,0.16101671755313873,-0.02435621830813276,0.7936198856337072,-0.028410376980900764,-0.05411376804113388,0.030254073441028595,0.0,0.0,-0.6,0.0,0.0003688335418701172,0.0003688335418701172,0.003954410552978516,0
