time,x,y,z,yaw,throttle,roll_rate,pitch_rate,yaw_rate,x_ref,y_ref,z_ref,yaw_ref,mpc_time,ctrl_callback_time_history,metadata
4.76837158203125e-06,-0.41018709540367126,-1.3181681632995605,0.9461965560913086,0.22575033016739277,-0.9750915857765674,0.7999999999997357,-0.7999999999976035,0.7999999999937693,0.0,0.0,-0.6,0.0,0.023641586303710938,0.025486230850219727,Sim
0.0251924991607666,-0.41018709540367126,-1.3181681632995605,0.9461965560913086,0.22575033016739277,-0.9750915857765674,0.7999999999997357,-0.7999999999976035,0.7999999999937693,0.0,0.0,-0.6,0.0,0.00015115737915039062,0.0005996227264404297,1x Speed
0.02922511100769043,-0.4090442955493927,-1.3207216262817383,0.9460551738739014,0.2261404574984344,-0.9750915857768603,0.799999999999994,-0.7999999999999462,0.7999999999998629,0.0,0.0,-0.6,0.0,0.011295080184936523,0.012045860290527344,Horizon:3.0
0.041484832763671875,-0.4090442955493927,-1.3207216262817383,0.9460551738739014,0.2261404574984344,-0.9750915857768603,0.799999999999994,-0.7999999999999462,0.7999999999998629,0.0,0.0,-0.6,0.0,0.00015807151794433594,0.0006253719329833984,Num Steps:20
0.0491940975189209,-0.4082109332084656,-1.3222792148590088,0.9463720917701721,0.22629710707583947,-0.9750915857768655,0.7999999999999985,-0.7999999999999858,0.799999999999964,0.0,0.0,-0.6,0.0,0.012765884399414062,0.013462543487548828,No Pyjoules
0.06287741661071777,-0.4082109332084656,-1.3222792148590088,0.9463720917701721,0.22629710707583947,-0.9750915857768655,0.7999999999999985,-0.7999999999999858,0.799999999999964,0.0,0.0,-0.6,0.0,0.00016188621520996094,0.0005931854248046875,0
0.06898069381713867,-0.40634897351264954,-1.3250371217727661,0.9471002221107483,0.2265678329917426,-0.9750915857768486,0.7999999999999855,-0.7999999999998614,0.7999999999996474,0.0,0.0,-0.6,0.0,0.014089107513427734,0.014743566513061523,0
0.08399653434753418,-0.40634897351264954,-1.3250371217727661,0.9471002221107483,0.2265678329917426,-0.9750915857768486,0.7999999999999855,-0.7999999999998614,0.7999999999996474,0.0,0.0,-0.6,0.0,0.00013828277587890625,0.000545501708984375,0
0.08950161933898926,-0.4049109220504761,-1.3270924091339111,0.9478965401649475,0.22676386599973794,-0.9750915857767872,0.7999999999999381,-0.7999999999994106,0.7999999999984961,0.0,0.0,-0.6,0.0,0.014979362487792969,0.01574420928955078,0
0.10550189018249512,-0.4049109220504761,-1.3270924091339111,0.9478965401649475,0.22676386599973794,-0.9750915857767872,0.7999999999999381,-0.7999999999994106,0.7999999999984961,0.0,0.0,-0.6,0.0,0.00016880035400390625,0.0006334781646728516,0
0.10894107818603516,-0.4033222198486328,-1.3293179273605347,0.9489087462425232,0.22691125739032256,-0.9750915857765817,0.799999999999781,-0.7999999999979156,0.7999999999946726,0.0,0.0,-0.6,0.0,0.015079021453857422,0.015763044357299805,0
0.1250443458557129,-0.4033222198486328,-1.3293179273605347,0.9489087462425232,0.22691125739032256,-0.9750915857765817,0.799999999999781,-0.7999999999979156,0.7999999999946726,0.0,0.0,-0.6,0.0,0.00015044212341308594,0.000576019287109375,0
0.129133939743042,-0.40056854486465454,-1.3329979181289673,0.9507450461387634,0.2271410126437551,-0.9750915857753193,0.7999999999988273,-0.799999999988924,0.7999999999713634,0.0,0.0,-0.6,0.0,0.008780956268310547,0.009608745574951172,0
0.1389756202697754,-0.40056854486465454,-1.3329979181289673,0.9507450461387634,0.2271410126437551,-0.9750915857753193,0.7999999999988273,-0.799999999988924,0.7999999999713634,0.0,0.0,-0.6,0.0,0.00017070770263671875,0.0006420612335205078,0
0.14914870262145996,-0.3972938358783722,-1.3370864391326904,0.9529180526733398,0.2274049983974924,-0.9750915857756896,0.7999999999991195,-0.7999999999916502,0.7999999999783218,0.0,0.0,-0.6,0.0,0.005845785140991211,0.006816387176513672,0
0.15901923179626465,-0.3961372375488281,-1.3385239839553833,0.9537590146064758,0.22749138917398692,-0.9750915857754542,0.7999999999989482,-0.7999999999900107,0.7999999999740167,0.0,0.0,-0.6,0.0,0.0047435760498046875,0.005371570587158203,0
0.16922855377197266,-0.3949495553970337,-1.339998483657837,0.9546452164649963,0.2275833481572088,-0.975091585776853,0.7999999999999895,-0.7999999999998992,0.7999999999997379,0.0,0.0,-0.6,0.0,0.005181074142456055,0.005898237228393555,0
0.17915916442871094,-0.3924860656261444,-1.343058466911316,0.956543505191803,0.22771697243184297,-0.9750915857768659,0.7999999999999992,-0.7999999999999914,0.7999999999999775,0.0,0.0,-0.6,0.0,0.004157304763793945,0.004806041717529297,0
0.18937468528747559,-0.39109230041503906,-1.3446747064590454,0.9574831128120422,0.22781406701806867,-0.9750915857767802,0.7999999999999363,-0.7999999999993905,0.799999999998405,0.0,0.0,-0.6,0.0,0.003677845001220703,0.004216909408569336,0
0.19916343688964844,-0.3896706700325012,-1.3463249206542969,0.9584646821022034,0.22794468623446554,-0.9750915857768657,0.7999999999999988,-0.7999999999999888,0.7999999999999707,0.0,0.0,-0.6,0.0,0.003823995590209961,0.004541635513305664,0
0.20914363861083984,-0.39137521386146545,-1.3448889255523682,0.9560711979866028,0.22804827167151004,-0.9750915857768178,0.7999999999999641,-0.799999999999657,0.7999999999991055,0.0,0.0,-0.6,0.0,0.003751516342163086,0.0043642520904541016,0
0.21936821937561035,-0.3929918110370636,-1.343549370765686,0.9538032412528992,0.22814945249186508,-0.9750915857762407,0.7999999999995486,-0.7999999999957029,0.7999999999888434,0.0,0.0,-0.6,0.0,0.0040378570556640625,0.004931926727294922,0
